,0,1,2,3,4,5,6,7
0,  NISSAN Pulsar 1.2 DIG-T 115cv Visia  ,14.500 € ,La Rioja,2018, Gasolina,86.334 km,Manual,/coches-segunda-mano/nissan-pulsar-ocasion/1-2-dig-t-115cv-visia-16295c784621c7-ref6938588
1,  NISSAN Qashqai 1.5dCi N-Connecta 4x2  ,15.500 € ,Zaragoza,2016, Diésel,125.000 km,Manual,/coches-segunda-mano/nissan-qashqai-ocasion/qashqai-1-5dci-n-connecta-4x2-ref7000506
2,  FORD Focus 1.5TDCi Trend+ 120  ,13.900 € ,Guipúzcoa,2017, Diésel,76.000 km,Manual,/coches-segunda-mano/ford-focus-ocasion/focus-1-5tdci-trend-120-ref7154278
3,  PEUGEOT 208 1.6e-HDi Active  ,11.500 € ,Valencia,2014, Diésel,118.000 km,Manual,/coches-segunda-mano/peugeot-208-ocasion/208-1-6e-hdi-active-1-ref7149457
4,  FIAT 500 1.2 Lounge  ,10.500 € ,Pontevedra,2015, Gasolina,71.570 km,Manual,/coches-segunda-mano/fiat-500-ocasion/500-1-2-lounge-1-ref7103135
5,  PEUGEOT 308 SW 1.6 BlueHDi Active 120  ,12.900 € ,Guipúzcoa,2014, Diésel,193.000 km,Manual,/coches-segunda-mano/peugeot-308-ocasion/308-sw-1-6-bluehdi-active-120-ref7059971
6,  KIA Ceed 1.4 CVVT CONCEPT PLUS PRO_CEE'D 100 3P  ,14.900 € ,Asturias,2018, Gasolina,24.500 km,Manual,/coches-segunda-mano/kia-ceed-ocasion/ceed-1-4-cvvt-concept-plus-pro-ceed-100-3p-ref6832096
7,  NISSAN Micra 1.5 DCI ACENTA 90 5P  ,15.400 € ,Asturias,2019, Diésel,29.000 km,Manual,/coches-segunda-mano/nissan-micra-ocasion/micra-1-5-dci-acenta-90-5p-22-ref7050558
8,  NISSAN Pulsar 1.2 DIG-T 115cv Visia  ,14.500 € ,La Rioja,2018, Gasolina,86.334 km,Manual,/coches-segunda-mano/nissan-pulsar-ocasion/1-2-dig-t-115cv-visia-16295c784621c7-ref6938588
9,  KIA Ceed 1.4 CVVT CONCEPT PLUS PRO_CEE'D 100 3P  ,14.900 € ,Asturias,2018, Gasolina,24.500 km,Manual,/coches-segunda-mano/kia-ceed-ocasion/ceed-1-4-cvvt-concept-plus-pro-ceed-100-3p-ref6832096
10,  FORD Fiesta 1.5 TDCi 63kW (85CV) Trend 5p  ,13.190 € ,Madrid,2019, Diésel,97.656 km,Manual,/coches-segunda-mano/ford-fiesta-ocasion/1-5-tdci-63kw-85cv-trend-5p-162d7d5da3aa5b-ref7171308
11,  NISSAN Micra 1.5 DCI ACENTA 90 5P  ,15.400 € ,Asturias,2019, Diésel,29.000 km,Manual,/coches-segunda-mano/nissan-micra-ocasion/micra-1-5-dci-acenta-90-5p-22-ref7050558
12,  NISSAN Qashqai 1.5dCi N-Connecta 4x2  ,15.500 € ,Zaragoza,2016, Diésel,125.000 km,Manual,/coches-segunda-mano/nissan-qashqai-ocasion/qashqai-1-5dci-n-connecta-4x2-ref7000506
