,Maker,Model,Description,Name,Year,City,Year2,Color,Power,Motor,Chasis,Kilometers,Fuel,Price,Link,largo,ancho,alto,batalla,pesomax,numpuertas,numplazas,cilindrada,numcilindros,velmax,consurb,conscarr,consmed,emisiones
0,RENAULT,Captur,TCe eco2 Energy Zen 90,RENAULT Captur TCe eco2 Energy Zen 90,2016,Sevilla,01/2016,Naranja,90,Manual,Todo Terreno,88.780 km,Gasolina,13.850 €,/coches-segunda-mano/renault-captur-ocasion/captur-tce-eco2-energy-zen-90-ref7005444,Largo 4.122 mm,Ancho 1.778 mm,Alto 1.566 mm,(mm)2.606,(kg)1.658,puertas5,plazas5,(cm3)898,cilindros3,(km/h)171,"Urbano (l/100 km)6,00","Carretera (l/100 km)4,30","Medio (l/100 km)4,90",CO2 (g/km)113
1,DACIA,Duster,1.5dCi Ambiance 4x4 110,DACIA Duster 1.5dCi Ambiance 4x4 110,2017,Cáceres,08/2017,Blanco,110,Manual,Todo Terreno,158.606 km,Diesel,13.900 €,/coches-segunda-mano/dacia-duster-ocasion/duster-1-5dci-ambiance-4x4-110-1-ref6899404,Largo 4.315 mm,Ancho 1.822 mm,Alto 1.625 mm,(mm)2.673,(kg)1.875,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)168,"Urbano (l/100 km)5,70","Carretera (l/100 km)4,90","Medio (l/100 km)5,10",CO2 (g/km)123
2,VOLKSWAGEN,Golf,1.6TDI CR BMT Advance 110,VOLKSWAGEN Golf 1.6TDI CR BMT Advance 110,2015,Cádiz,01/2015,Azul,110,Manual,Berlina,148.000 km,Diesel,13.990 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-1-6tdi-cr-bmt-advance-110-1-ref7096804,Largo 4.255 mm,Ancho 1.799 mm,Alto 1.452 mm,(mm)2.637,(kg)1.800,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)195,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,50","Medio (l/100 km)3,80",CO2 (g/km)103
3,OPEL,Corsa,1.4 Turbo S&S Selective 100 (4.75),OPEL Corsa 1.4 Turbo S&S Selective 100 (4.75),2018,Madrid,01/2018,Blanco,100,Manual,Berlina,76.000 km,Gasolina,11.990 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-4-turbo-s-s-selective-100-4-75-1-ref6878788,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.695,puertas5,plazas5,(cm3)1.364,cilindros4,(km/h)185,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,50","Medio (l/100 km)5,30",CO2 (g/km)128
4,VOLKSWAGEN,Polo,1.4 TDI BMT Sport 66kW,VOLKSWAGEN Polo 1.4 TDI BMT Sport 66kW,2015,Granada,03/2015,Negro,90,Manual,Berlina,107.616 km,Diesel,11.800 €,/coches-segunda-mano/volkswagen-polo-ocasion/polo-1-4-tdi-bmt-sport-90-ref7190961,Largo 3.972 mm,Ancho 1.682 mm,Alto 1.453 mm,(mm)2.470,(kg)1.670,puertas3,plazas5,(cm3)1.422,cilindros3,(km/h)184,"Urbano (l/100 km)4,00","Carretera (l/100 km)3,10","Medio (l/100 km)3,40",CO2 (g/km)95
5,VOLKSWAGEN,Golf,Variant 1.6TDI CR BMT Advance 110,VOLKSWAGEN Golf Variant 1.6TDI CR BMT Advance 110,2014,Granada,04/2014,Rojo,110,Manual,Stationwagon,140.993 km,Diesel,11.250 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-variant-1-6tdi-cr-bmt-advance-105-ref7196692,Largo 4.562 mm,Ancho 1.799 mm,Alto 1.481 mm,(mm)2.635,(kg)1.900,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)196,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,60","Medio (l/100 km)4,00",CO2 (g/km)103
6,FORD,B-Max,1.4 Ambiente,FORD B-Max 1.4 Ambiente,2015,Almería,01/2015,BLANCO,90,Manual,Monovolumen,56.917 km,Gasolina,10.990 €,/coches-segunda-mano/ford-b-max-ocasion/b-max-1-4-ambiente-ref7157757,Largo 4.077 mm,Ancho 1.751 mm,Alto 1.604 mm,(mm)2.489,(kg)1.745,puertas5,plazas5,(cm3)1.388,cilindros4,(km/h)171,"Urbano (l/100 km)7,90","Carretera (l/100 km)4,90","Medio (l/100 km)6,00",CO2 (g/km)139
7,KIA,Cee´d,Pro_Cee´d 1.0 T-GDI Eco-D. Tech 120,KIA Cee´d Pro_Cee´d 1.0 T-GDI Eco-D. Tech 120,2016,Granada,02/2016,Blanco,120,Manual,Berlina,151.745 km,Gasolina,10.750 €,/coches-segunda-mano/kia-cee-d-ocasion/pro-cee-d-1-0-t-gdi-eco-d-tech-120-ref7193980,Largo 4.310 mm,Ancho 1.780 mm,Alto 1.430 mm,(mm)2.650,(kg)1.820,puertas3,plazas5,(cm3)998,cilindros3,(km/h)190,"Urbano (l/100 km)6,20","Carretera (l/100 km)4,20","Medio (l/100 km)4,90",CO2 (g/km)115
8,NISSAN,Pulsar,1.2 DIG-T Tekna XTronic,NISSAN Pulsar 1.2 DIG-T Tekna XTronic,2016,Vizcaya,08/2016,Marrón,115,Automático,Berlina,44.300 km,Gasolina,15.099 €,/coches-segunda-mano/nissan-pulsar-ocasion/pulsar-1-2-dig-t-tekna-xtronic-ref6338860,Largo 4.387 mm,Ancho 1.768 mm,Alto 1.520 mm,(mm)2.700,(kg)1.750,puertas5,plazas5,(cm3)1.197,cilindros4,(km/h)185,"Urbano (l/100 km)6,40","Carretera (l/100 km)4,40","Medio (l/100 km)5,10",CO2 (g/km)119
9,RENAULT,Mégane,1.5dCi Energy Business 81kW,RENAULT Mégane 1.5dCi Energy Business 81kW,2018,Salamanca,08/2018,Blanco,110,Manual,Berlina,156.000 km,Diesel,13.500 €,/coches-segunda-mano/renault-megane-ocasion/megane-1-5dci-energy-business-110-ref7062952,Largo 4.359 mm,Ancho 1.814 mm,Alto 1.438 mm,(mm)2.670,(kg)1.848,puertas5,plazas5,(cm3)1.461,cilindros4,(km/h)187,"Urbano (l/100 km)4,20","Carretera (l/100 km)3,40","Medio (l/100 km)3,70",CO2 (g/km)95
